Date,User,Message
2023-03-22 00:14:16,"원상이","선민이는 허락 맡앗대"
2023-03-22 00:14:17,"뿌까","이런 거 몰래가는 거야"
2023-03-22 00:14:18,"Yeon","가봣음근대"
2023-03-22 00:14:19,"다슬","호빠는 카드 안되서 아직 못가본거 아냐?"
2023-03-22 00:14:25,"Yeon","돈아까워"
2023-03-22 00:14:29,"유지수","거기서"
2023-03-22 00:14:33,"유지수","진짜"
2023-03-22 00:14:35,"유지수","빨가벗고놀아??"
2023-03-22 00:14:39,"뿌까","키스 정도는 할걸? "
2023-03-22 00:14:40,"다슬","살아있는"
2023-03-22 00:14:44,"다슬","딜도라고 생각하라던데"
2023-03-22 00:14:47,"뿌까","돈 주면 스킨십 해줌 "
2023-03-22 00:14:48,"원상이","ㄷㄷㄷㄷㄷㄷㄷㄷㄷ"
2023-03-22 00:14:51,"뿌까","다고 들음"
2023-03-22 00:14:57,"원상이","급하게"
2023-03-22 00:15:00,"뿌까","거기서 머 남녀인데"
2023-03-22 00:15:02,"원상이","드리프트"
2023-03-22 00:15:05,"뿌까","둘이 맘에들면 색스도 하갯지"
2023-03-22 00:15:17,"뿌까","원묵이랑"
2023-03-22 00:15:18,"뿌까","가볼까"
2023-03-22 00:15:19,"뿌까","아냐 "
2023-03-22 00:15:20,"뿌까","ㅋㅋ"
2023-03-22 00:15:22,"다슬","얜 먼데 토닥이를 알아"
2023-03-22 00:15:28,"Yeon","지지일듯"
2023-03-22 00:15:28,"뿌까","카광"
2023-03-22 00:15:30,"뿌까","땜에 알아"
2023-03-22 00:15:31,"유지수","토닥이"
2023-03-22 00:15:32,"뿌까","근데"
2023-03-22 00:15:34,"유지수","카광 애청자들은"
2023-03-22 00:15:34,"뿌까","나
토닥이 "
2023-03-22 00:15:36,"유지수","모를수가 업는 ㄷㄷ"
2023-03-22 00:15:36,"뿌까","씨코스 말고"
2023-03-22 00:15:39,"뿌까","비코스까지는"
2023-03-22 00:15:40,"뿌까","생각잇음"
2023-03-22 00:15:42,"뿌까","안마자나"
2023-03-22 00:15:47,"다슬","보지안마"
2023-03-22 00:15:48,"유지수","근데 야릇하게 만지잖아"
2023-03-22 00:15:49,"뿌까","안마 받으면 좋지 총각한테"
2023-03-22 00:16:01,"다슬","원묵이가 잇잔아"
2023-03-22 00:16:03,"유지수","글고 ㄱㅐ네 안마 잘 못할거같아 왠지"
2023-03-22 00:16:05,"다슬","뭐하러 돈써"
2023-03-22 00:16:07,"뿌까","원묵이보고"
